FACILITY,ADDRESS,CITY,STATE,ZIP,CREDENTIALID,LAWENFORCEMENT,New Georeferenced Column
NEW BRITAIN POLICE DEPARTMENT,10 CHESTNUT ST,NEW BRITAIN,CT,06051-2654,1349023,true,POINT (-72.78093 41.6658)
WATERBURY POLICE DEPARTMENT,255 E MAIN ST,WATERBURY,CT,06702-2301,1143916,true,POINT (-73.03629 41.55461)
ANSONIA POLICE DEPARTMENT,65 Main Street,ANSONIA,CT,06401-3310,1075890,true,POINT (-73.07959 41.345408)
SOUTH WINDSOR POLICE DEPARTMENT,151 SAND HILL RD,SOUTH WINDSOR,CT,06074-2026,1157538,true,POINT (-72.55222 41.83585)
BRISTOL POLICE DEPARTMENT,131 N MAIN ST,BRISTOL,CT,06010-8123,1424496,true,POINT (-72.946121 41.674226)
CLINTON POLICE DEPARTMENT,170 E MAIN ST,CLINTON,CT,06413-2116,1244132,true,POINT (-72.51187 41.27571)
LEDYARD POLICE DEPARTMENT,737 Colonel Ledyard Highway,LEDYARD,CT,06339,1187123,true,POINT (-72.01699 41.44206)
DESPP DIVISION OF STATE POLICE TROOP L,452 BANTAM RD # A,LITCHFIELD,CT,06759-3201,1343032,true,POINT (-73.21577 41.73524)
CVS PHARMACY #377,915 POQUONNOCK RD,GROTON,CT,06340-4257,2154038,false,POINT (-72.051098 41.346666)
DESPP DIVISION OF STATE POLICE TROOP F,315 SPENCER PLAINS RD,WESTBROOK,CT,06498-3509,1342890,true,POINT (-72.42973 41.29262)
CVS PHARMACY #4149,54 E HIGH ST,EAST HAMPTON,CT,06424-1052,2154027,false,POINT (-72.49727 41.58491)
GUILFORD POLICE DEPARTMENT,400 CHURCH ST,GUILFORD,CT,06437-2004,1145078,true,POINT (-72.68891 41.29744)
CVS PHARMACY #1027,372 W MAIN ST,NORWICH,CT,06360-5421,1676978,false,POINT (-72.09176 41.52125)
WINDSOR POLICE DEPARTMENT,110 ADDISON RD,WINDSOR,CT,06095-2171,1467498,true,POINT (-72.67342 41.87075)
CVS PHARMACY #2572,1 HAWLEY LN,STRATFORD,CT,06614-1200,1676981,false,POINT (-73.15428 41.23052)
ELLINGTON POLICE DEPARTMENT,33 ARBOR WAY,ELLINGTON,CT,06029-3354,1345706,true,POINT (-72.46352 41.90305)
STRATFORD POLICE,900 LONGBROOK AVE,STRATFORD,CT,06614-5007,1184244,true,POINT (-73.12847 41.2019)
MADISON POLICE DEPARTMENT,9 CAMPUS DR,MADISON,CT,06443-2562,1268362,true,POINT (-72.5762 41.29573)
OXFORD RESIDENT TROOPERS OFFICE,429 OXFORD RD,OXFORD,CT,06478-1231,1452041,true,POINT (-73.11674 41.43445)
CVS PHARMACY #942,542 PROVIDENCE RD,BROOKLYN,CT,06234-3413,2154036,false,POINT (-71.903428 41.79872)
WESTPORT POLICE DEPARTMENT,50 JESUP RD,WESTPORT,CT,06880-4309,1210344,true,POINT (-73.35998 41.1402)
SCSU Police Department,510 Crescent Street,New HAven,CT,06515,2323111,true,POINT (-72.947716 41.330962)
MERIDEN POLICE DEPARTMENT,50 WEST MAIN ST,MERIDEN,CT,06451,1231342,true,POINT (-72.80429 41.53823)
WESTON POLICE DEPARTMENT,56 NORFIELD ROAD,WESTON,CT,06883,1508431,true,POINT (-73.37857 41.20158)
SOUTHINGTON POLICE DEPARTMENT,69 LAZY LN,SOUTHINGTON,CT,06489-1763,1078015,true,POINT (-72.87585 41.62155)
BEACON PRESCRIPTIONS,57 SOUTH ST,BRISTOL,CT,06010-6524,2195437,false,POINT (-72.94625 41.66842)
NORTH HAVEN POLICE DEPARTMENT,8 LINSLEY ST,NORTH HAVEN,CT,06473-2517,1599071,true,POINT (-72.86198 41.38712)
BROOKFIELD POLICE DEPARTMENT,63 SILVERMINE RD,BROOKFIELD,CT,06804-2014,1131779,true,POINT (-73.40272 41.46788)
MASHANTUCKET PEQUOT TRIBAL POLICE DEPARTMENT,101 PEQUOT TRL,MASHANTUCKET,CT,06338-3196,1332185,true,POINT (-71.95637 41.46609)
SHELTON POLICE DEPARTMENT (K9 UNIT),85 WHEELER ST,SHELTON,CT,06484,1051847,true,POINT (-73.10968 41.3223)
WATERFORD POLICE DEPARTMENT,41 AVERY LN,WATERFORD,CT,06385-2202,1043428,true,POINT (-72.13724 41.34452)
CVS PHARMACY #865,839 E MAIN ST,MERIDEN,CT,06450-6006,1676975,false,POINT (-72.77501 41.52774)
DESPP DIVISION OF STATE POLICE TROOP G,149 PROSPECT ST,BRIDGEPORT,CT,06604-4621,1342902,true,POINT (-73.19133 41.17279)
NEW CANAAN POLICE DEPARTMENT,174 SOUTH AVE,NEW CANAAN,CT,06840-5728,1036989,true,POINT (-73.49064 41.14101)
CVS PHARMACY #288,839 FARMINGTON AVE,BRISTOL,CT,06010-3922,1676969,false,POINT (-72.91535 41.69318)
DESPP DIVISION OF STATE POLICE TROOP B,463B ASHLEY FALLS ROAD,NORTH CANAAN,CT,06018,1342876,true,POINT (-73.3255 42.04256)
STONINGTON POLICE DEPARTMENT,173 S BROAD ST,PAWCATUCK,CT,06379-1920,1275903,true,POINT (-71.86196 41.36815)
MOHEGAN TRIBAL POLICE,49 SANDY DESERT RD,UNCASVILLE,CT,06382-1111,1338385,true,POINT (-72.09678 41.49263)
TOWN OF NORTH BRANFORD POLICE DEPT.,260 FOREST ROAD,NORTH BRANFORD,CT,06471,2218236,true,POINT (-72.801875 41.351381)
CITY OF GROTON POLICE DEPARTMENT,295 MERIDIAN ST,GROTON,CT,06340-4012,1075254,true,POINT (-72.07024 41.35484)
HAMDEN POLICE DEPARTMENT,2900 Dixwell Avenue,Hamden,CT,06518,1599067,true,POINT (-72.90357 41.38366)
WINDSOR LOCKS POLICE DEPARTMENT,4 VOLUNTEER DR,WINDSOR LOCKS,CT,06096-2134,1058663,true,POINT (-72.64759 41.92788)
ORANGE POLICE DEPARTMENT,314 LAMBERT ROAD,ORANGE,CT,06477,1523092,true,POINT (-73.00678 41.2643)
TOWN OF GROTON POLICE DEPT,68 GROTON LONG POINT RD,GROTON,CT,06340-4806,1122632,true,POINT (-72.01057 41.34285)
CROMWELL POLICE DEPARTMENT,5 WEST ST,CROMWELL,CT,06416-2123,2096084,true,POINT (-72.64655 41.59605)
DESPP DIVISION OF STATE POLICE TROOP K,15A OLD HARTFORD RD,COLCHESTER,CT,06415-2714,1342184,true,POINT (-72.33884 41.57934)
NEW MILFORD POLICE DEPARTMENT,49 POPLAR ST,NEW MILFORD,CT,06776-2920,1241492,true,POINT (-73.40783 41.58626)
BERLIN POLICE DEPT.,240 KENSINGTON RD,KENSINGTON,CT,06037-2655,1618891,true,POINT (-72.77068 41.62756)
DESPP DIVISION OF STATE POLICE TROOP A,90 LAKESIDE RD,SOUTHBURY,CT,06488-2508,1343027,true,POINT (-73.23429 41.4567)
DESPP DIVISION OF STATE POLICE TROOP C,1320 TOLLAND STAGE RD,TOLLAND,CT,06084-3111,1342241,true,POINT (-72.32339 41.88637)
EAST LYME POLICE DEPARTMENT,278 MAIN ST,NIANTIC,CT,06357-3102,1176683,true,POINT (-72.19383 41.32322)
MILFORD POLICE DEPARTMENT,430 BOSTON POST ROAD,MILFORD,CT,06460,1408371,true,POINT (-73.06981 41.2275)
CVS PHARMACY #1948,690 WETHERSFIELD AVE,HARTFORD,CT,06114-1930,1799036,false,POINT (-72.6708 41.73703)
CVS PHARMACY #3549,355 CAMPBELL AVE,WEST HAVEN,CT,06516-5329,1676973,false,POINT (-72.94838 41.2681)
EAST HARTFORD POLICE DEPT,31 SCHOOL ST,E  HARTFORD,CT,06108,1121660,true,POINT (-72.61149 41.78083)
MANCHESTER POLICE DEPARTMENT,239 MIDDLE TPKE E,MANCHESTER,CT,06040-4358,1058229,true,POINT (-72.51117 41.78365)
CVS PHARMACY #822,40 EAST ST,NEW MILFORD,CT,06776-3014,2154043,true,POINT (-73.40861 41.57933)
NEW HAVEN POLICE DEPARTMENT,1 UNION AVE,NEW HAVEN,CT,06519-1721,1117409,true,POINT (-72.92497 41.2999)
COVENTRY POLICE DEPARTMENT,1585 MAIN ST,COVENTRY,CT,06238-1749,1250708,true,POINT (-72.30826 41.77622)
HARTFORD POLICE DEPARTMENT,253 HIGH ST,HARTFORD,CT,06103-1041,1262646,true,POINT (-72.67786 41.77235)
FARMINGTON POLICE DEPARTMENT,319 NEW BRITAIN AVE,UNIONVILLE,CT,06085-1224,1130540,true,POINT (-72.87221 41.74922)
SIMSBURY POLICE DEPARTMENT,933 HOPMEADOW ST,SIMSBURY,CT,06070-1822,1045811,true,POINT (-72.800043 41.880223)
PUTNAM POLICE DEPARTMENT,189 CHURCH ST,PUTNAM,CT,06260-1537,1163781,true,POINT (-71.9104 41.92098)
NORWICH POLICE DEPARTMENT,70 THAMES ST,NORWICH,CT,06360-5646,1157341,true,POINT (-72.08176 41.52212)
CANTON POLICE DEPARTMENT,45 RIVER RD,COLLINSVILLE,CT,06019-3174,1081985,true,POINT (-72.92077 41.81889)
DESPP DIVISION OF STATE POLICE TROOP H,100R WASHINGTON ST,HARTFORD,CT,06106-4405,1342197,true,POINT (-72.68213 41.75981)
TRUMBULL POLICE DEPARTMENT,158 EDISON RD,TRUMBULL,CT,06611-4139,1191675,true,POINT (-73.21879 41.23476)
WATERTOWN POLICE DEPARTMENT,195 FRENCH ST,WATERTOWN,CT,06795-2921,1078793,true,POINT (-73.10672 41.59799)
STAFFORD POLICE,2 MAIN ST,STAFFORD SPRINGS,CT,06076-1411,1253849,true,POINT (-72.3029 41.95391)
MONROE POLICE DEPARTMENT,7 FAN HILL ROAD,MONROE,CT,06468,1487394,true,POINT (-73.207 41.33196)
WINCHESTER POLICE DEPARTMENT,338 MAIN ST,WINSTED,CT,06098-1640,1201225,true,POINT (-73.06831 41.92117)
BETHEL POLICE DEPARTMENT,12 Judd Avenue,BETHEL,CT,06801-1616,1231136,true,POINT (-73.39627 41.37651)
PORTLAND POLICE DEPARTMENT,265 MAIN STREET,PORTLAND,CT,06480,1441599,true,POINT (-72.63869 41.5756)
DESPP DIVISION OF STATE POLICE TROOP D,55 WESTCOTT RD,DANIELSON,CT,06239-2929,1342230,true,POINT (-71.87661 41.80869)
WOODBRIDGE POLICE DEPARTMENT,4 MEETINGHOUSE LANE,WOODBRIDGE,CT,06525,1421704,true,POINT (-73.01221 41.35377)
FAIRFIELD POLICE DEPARTMENT,100 REEF RD,FAIRFIELD,CT,06824-5919,1188115,true,POINT (-73.25658 41.13964)
MIDDLETOWN POLICE DEPARTMENT,222 MAIN ST,MIDDLETOWN,CT,06457-3439,2340166,true,POINT (-72.64924 41.55969)
CVS PHARMACY #1960,1279 W MAIN ST,WATERBURY,CT,06708-3101,1676977,false,POINT (-73.06423 41.55134)
THOMASTON POLICE DEPARTMENT,158 MAIN ST,THOMASTON,CT,06787-1744,1332018,true,POINT (-73.07488 41.67284)
GLASTONBURY POLICE DEPARTMENT,2108 MAIN STREET,GLASTONBURY,CT,06033,1418016,true,POINT (-72.60807 41.70634)
MONTVILLE POLICE DEPARTMENT,911 NORWICH NEW LONDON TPKE,UNCASVILLE,CT,06382-1917,1145845,true,POINT (-72.10732 41.45133)
CVS PHARMACY #123,519 BOSTON POST RD,OLD SAYBROOK,CT,06475-1526,2154041,true,POINT (-72.375674 41.29926)
DARIEN POLICE DEPARTMENT,25 HECKER AVE,DARIEN,CT,06820-5308,1177013,true,POINT (-73.47923 41.06943)
COLCHESTER RESIDENT TROOPERS OFFICE,127 NORWICH AVE,COLCHESTER,CT,06415-1230,1064593,true,POINT (-72.32776 41.57469)
NEW LONDON POLICE DEPARTMENT,5 GOVERNOR WINTHROP BLVD,NEW LONDON,CT,06320-6423,1067834,true,POINT (-72.09589 41.35661)
EAST HAMPTON POLICE DEPARTMENT,1 COMMUNITY DRIVE,EAST HAMPTON,CT,06424-2038,1531447,true,POINT (-72.49975 41.60146)
UNIVERSITY OF CONNECTICUT POLICE DEPARTMENT,126 NORTH EAGLEVILLE ROAD,STORRS MANSFIELD,CT,06269,1442706,true,POINT (-72.26155 41.80924)
SOMERS POLICE DEPARTMENT,451 MAIN ST,SOMERS,CT,06071-2051,1234907,true,POINT (-72.45932 41.98417)
WEST HARTFORD POLICE DEPARTMENT,103 RAYMOND RD,WEST HARTFORD,CT,06107-2538,1615872,true,POINT (-72.73895 41.75889)
DESPP DIVISION OF STATE POLICE TROOP I,631 AMITY RD,BETHANY,CT,06524-3026,1342215,true,POINT (-72.99397 41.43322)
CVS PHARMACY #718,24 PERSHING DR # 36,ANSONIA,CT,06401-2214,1676461,false,POINT (-73.08376 41.33363)
HEBRON RESIDENT TROOPER'S OFFICE,44 MAIN ST,HEBRON,CT,06248-1515,1401473,true,POINT (-72.36248 41.65865)
CVS PHARMACY #364,308 MAIN STREET EXT,MIDDLETOWN,CT,06457-4406,1676968,false,POINT (-72.63977 41.54866)
CHESHIRE POLICE UNION,500 HIGHLAND AVE,CHESHIRE,CT,06410-2249,1115844,true,POINT (-72.89921 41.51126)
NORWALK DEPARTMENT OF POLICE SERVICE,1 MONROE ST,NORWALK,CT,06854-3103,1221357,true,POINT (-73.41897 41.09659)
MAIN STREET PHARMACY 3 LLC,2117 BOSTON AVE,BRIDGEPORT,CT,06610-3030,1676580,false,POINT (-73.155255 41.192539)
REDDING POLICE DEPT.,96 HILL RD,REDDING,CT,06896-2007,1057464,true,POINT (-73.38298 41.30387)
DESPP DIVISION OF STATE POLICE TROOP E,,UNCASVILLE,CT,06382-0306,1343492,true,POINT (-72.11361 41.42918)
DANBURY POLICE DEPARTMENT,375 MAIN STREET,DANBURY,CT,06810,1453343,true,POINT (-73.45729 41.40062)
GREENWICH POLICE DEPARTMENT,11 BRUCE PL,GREENWICH,CT,06830-6535,1035891,true,POINT (-73.62478 41.02602)
CVS PHARMACY #1966,1057 BOSTON POST RD,GUILFORD,CT,06437-2644,1676972,false,POINT (-72.68501 41.28855)
WILTON POLICE DEPARTMENT,240 DANBURY RD,WILTON,CT,06897-4008,1035797,true,POINT (-73.42673 41.19)
BLOOMFIELD POLICE DEPARTMENT,785 PARK AVE,BLOOMFIELD,CT,06002-2444,1234064,true,POINT (-72.73388 41.82847)
PLAINFIELD POLICE DEPARTMENT,210 NORWICH RD,PLAINFIELD,CT,06374-1622,1294297,true,POINT (-71.90479 41.70542)
SUFFIELD POLICE DEPARTMENT,911 MOUNTAIN RD,SUFFIELD,CT,06078-3074,1335205,true,POINT (-72.68487 41.98495)
ENFIELD POLICE DEPARTMENT,293 ELM ST,ENFIELD,CT,06082-3907,1070221,true,POINT (-72.5551 41.99735)
CVS PHARMACY #1080,817 BANK ST,NEW LONDON,CT,06320-3503,1676986,false,POINT (-72.10709 41.34877)
NAUGATUCK POLICE DEPARTMENT,211 SPRING ST,NAUGATUCK,CT,06770-2990,1070785,true,POINT (-73.05431 41.50469)
Middlebury Police Dept.,200 Southford Road,Middlebury,CT,06762,2206784,true,POINT (-73.137679 41.518361)
St. Vincent's Outpatient Pharmacy,2800 Main Street,Bridgeport,CT,06606,2002416,false,POINT (-73.202955 41.200782)
WOLCOTT POLICE DEPT.,225 NICHOLS RD,WOLCOTT,CT,06716-2718,1055726,true,POINT (-72.98357 41.57877)
RIDGEFIELD POLICE DEPT.,76 EAST RIDGE RD,RIDGEFIELD,CT,06877-5022,1035832,true,POINT (-73.49381 41.28053)
VERNON POLICE DEPARTMENT,725 HARTFORD TPKE,VERNON,CT,06066-5115,1165866,true,POINT (-72.46496 41.8394)
